"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.640093700E-2,-3.202843428E0,8.353070259E0,4.599261284E0,1.005908510E1
2.840093700E-2,-3.154959202E0,8.331522942E0,4.630385876E0,1.004034439E1
3.036093700E-2,-3.111863613E0,8.317157745E0,4.637568474E0,1.001827577E1
3.233135400E-2,-3.070863008E0,8.307580948E0,4.637568474E0,9.997656834E0
3.430177100E-2,-3.018190622E0,8.300397873E0,4.649539471E0,9.981197161E0
3.627218700E-2,-2.953547001E0,8.298004150E0,4.659116745E0,9.964320429E0
3.824260400E-2,-2.884115219E0,8.300397873E0,4.663905144E0,9.948202684E0
4.021302100E-2,-2.821866035E0,8.298004150E0,4.661510944E0,9.927209330E0
4.218343700E-2,-2.766799450E0,8.298004150E0,4.649539471E0,9.906072348E0
4.415385400E-2,-2.706944227E0,8.305186272E0,4.635174274E0,9.888807138E0
4.612427100E-2,-2.649483442E0,8.312369347E0,4.623203278E0,9.873664731E0
4.809468700E-2,-2.620753050E0,8.331522942E0,4.639962673E0,9.889988609E0
5.006510400E-2,-2.625541449E0,8.360253334E0,4.687847137E0,9.937968328E0
5.203552100E-2,-2.608782053E0,8.379406929E0,4.707000732E0,9.958717798E0
5.400593700E-2,-2.556109667E0,8.377012253E0,4.678270340E0,9.929463444E0
5.597635400E-2,-2.510320425E0,8.369830132E0,4.630385876E0,9.889198068E0
5.794677100E-2,-2.483984232E0,8.374618530E0,4.599261284E0,9.872062477E0
5.991885400E-2,-2.469619036E0,8.391377449E0,4.592078686E0,9.879343112E0
6.189260400E-2,-2.457648039E0,8.408137321E0,4.589684486E0,9.889489915E0
6.386635400E-2,-2.450465441E0,8.412925720E0,4.580107689E0,9.887339708E0
6.584010400E-2,-2.457648039E0,8.417714119E0,4.568136692E0,9.887659870E0
6.781385400E-2,-2.467224836E0,8.417714119E0,4.553771496E0,9.883417639E0
6.978760400E-2,-2.467224836E0,8.412925720E0,4.537012100E0,9.871625822E0
7.176135400E-2,-2.460042238E0,8.400954247E0,4.520252705E0,9.851929993E0
7.373177100E-2,-2.457648039E0,8.386589050E0,4.503493309E0,9.831396735E0
